2009/06/09 13:22:10 -0700 231 | 1244578930 | 82575 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 13:22:10 -0700 232 | 1244578930 | 82575 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 13:22:10 -0700 233 | 1244578930 | 82575 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 13:29:19 -0700 647 | 1244579359 | 81097 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 13:29:19 -0700 649 | 1244579359 | 81097 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 13:29:19 -0700 654 | 1244579359 | 81097 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 13:35:23 -0700 251 | 1244579723 | 75531 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 13:56:42 -0700 870 | 1244581002 | 92620 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 13:56:42 -0700 931 | 1244581002 | 92620 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 14:01:51 -0700 110 | 1244581311 | 69901 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 14:01:51 -0700 112 | 1244581311 | 69901 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 14:01:51 -0700 114 | 1244581311 | 69901 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
